typo,orig,historique,typvoie,arrdt,quartier,longueur,largeur,typo_normalized,id,nom,insee,adresse,url,type_usagers,gratuit,nb_places,nb_pr,nb_pmr,nb_voitures_electriques,nb_velo,nb_2r_el,nb_autopartage,nb_2_rm,nb_covoit,hauteur_max,num_siret,Xlong,Ylat,tarif_pmr,tarif_1h,tarif_2h,tarif_3h,tarif_4h,tarif_24h,abo_resident,abo_non_resident,type_ouvrage,info,id_local,adresse_normalized,typo_match
RUE DE CHARENTON,Conduit à la commune de Charenton.,"Au XVIIIe siècle, cette voie était dénommée rue de la Planchette entre la place du Colonel Bourgoin et la rue Montgallet, et rue de la Vallée de Fécamp, entre la rue Montgallet et le boulevard Poniatowski. De 1800 à 1815, elle a porté le nom de rue de Marengo. La partie comprise entre les rues de Rambouillet et Erard a été englobé dans la place du Colonel Bourgoin en 1972. Précédemment partie de la route nationale n° 5.",rue,12e,"Bercy,Picpus,Quinze-Vingts",3150.0,16.0,ruedecharenton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,75101-P-006,VENDOME,75101.0,26 ter place Vendome. 75001. Paris,https://fr.parkindigo.com/parking/paris-75001/vendome-75010800,tous,0.0,1113.0,0.0,30.0,4.0,0.0,0.0,0.0,0.0,0.0,190.0,69200935000020.0,2.330001,48.867835,,5.2,10.4,15.6,20.8,42.8,177.33,294.0,ouvrage,,,26terplacevendome75001paris,
,,,,,,,,,75101-P-041,HARLAY (PONT NEUF),75101.0,40 bis quai des Orfevres. 75001. Paris,https://fr.parkindigo.com/parking/paris-75001/harlay-pont-neuf-75010300,tous,0.0,773.0,0.0,7.0,0.0,0.0,0.0,2.0,61.0,0.0,190.0,30464607800143.0,2.3427859,48.8556649,,4.4,8.8,13.2,17.6,39.6,149.22,246.0,ouvrage,,,40bisquaidesorfevres75001paris,
,,,,,,,,,75101-P-046,LOUVRE SAMARITAINE,75101.0,7 place du Louvre. 75001. Paris,https://fr.parkindigo.com/parking/paris-75001/louvre-samaritaine-75011200,tous,0.0,569.0,0.0,13.0,6.0,60.0,0.0,0.0,43.0,0.0,190.0,50472714000056.0,2.340529,48.859483,tarif_special,4.5,9.0,13.5,18.0,40.5,224.0,280.0,ouvrage,tarif petit rouleur -52 % = contacter le parc|tarif PMR = 2.25 euros,,7placedulouvre75001paris,
,,,,,,,,,75101-P-104,CROIX DES PETITS CHAMPS,75101.0,14 rue Croix des Petits Champs. 75001. Paris,https://fr.parkindigo.com/parking/paris-75001/croix-des-petits-champs-75010400,tous,0.0,430.0,0.0,7.0,0.0,0.0,0.0,1.0,17.0,0.0,190.0,30464607800143.0,2.33961,48.863071,tarif_special,4.6,9.2,13.8,18.4,39.6,,377.0,ouvrage,tarif PMR = 2.30 euros,,14ruecroixdespetitschamps75001paris,
,,,,,,,,,75101-P-147,SEBASTOPOL,75101.0,37 ter boulevard Sebastopol. 75001. Paris,https://fr.parkindigo.com/parking/paris-75001/sebastopol-75010500,tous,0.0,488.0,0.0,12.0,2.0,0.0,0.0,0.0,72.0,0.0,190.0,30464607800143.0,2.349474,48.860988,,4.8,9.6,14.4,19.2,43.2,142.83,245.0,ouvrage,,,37terboulevardsebastopol75001paris,
,,,,,,,,,75102-P-048,BOURSE,75102.0,12 quater place de la Bourse. 75002. Paris,https://fr.parkindigo.com/parking/paris-75002/bourse-75020300,tous,0.0,896.0,0.0,3.0,3.0,0.0,0.0,2.0,64.0,0.0,190.0,30009201200024.0,2.3407743,48.8696378,,4.8,9.6,14.4,19.2,39.6,228.32,357.0,ouvrage,,,12quaterplacedelabourse75002paris,
,,,,,,,,,75103-P-044,SAINT MARTIN,75103.0,245 ter rue Saint Martin. 75003. Paris,https://fr.parkindigo.com/parking/paris-75003/saint-martin-75030100,tous,0.0,545.0,0.0,4.0,0.0,0.0,0.0,0.0,38.0,0.0,190.0,33835412900011.0,2.353603,48.865883,,4.8,9.6,14.4,19.2,43.2,,309.0,ouvrage,,,245terruesaintmartin75003paris,
,,,,,,,,,75104-P-010,LUTECE,75104.0,1 ter boulevard du Palais. 75004. Paris,https://fr.parkindigo.com/parking/paris-75004/lutece-75040700,tous,0.0,322.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,190.0,64202088700419.0,2.346125,48.855434,tarif_special,4.0,8.0,12.0,16.0,36.0,200.0,250.0,ouvrage,tarif petit rouleur -25 % = contacter le parc|tarif PMR = 2.00 euros,,1terboulevarddupalais75004paris,
,,,,,,,,,75104-P-025,LOBAU,75104.0,2 quater rue de Lobau. 75004. Paris,https://www.sags.fr/parking-paris/paris-lobau.html,tous,0.0,814.0,0.0,17.0,5.0,82.0,0.0,0.0,132.0,0.0,190.0,38933781700065.0,2.3534098,48.8561017,tarif_special,4.2,8.4,12.6,16.8,37.8,200.0,250.0,ouvrage,tarif petit rouleur -30 % = contacter le parc|autre entree = 5 ter rue de Lobau. 75004. Paris|tarif PMR = 2.10 euros,,2quaterruedelobau75004paris,
,,,,,,,,,75104-P-124,BAUDOYER,75104.0,25 ter rue de Rivoli. 75004. Paris,http://realpark.fr/parking/baudoyer.html,tous,0.0,317.0,0.0,6.0,0.0,6.0,0.0,0.0,11.0,0.0,195.0,39327657100030.0,2.355399,48.856476,,4.6,9.2,14.0,18.8,39.6,,249.0,ouvrage,,,25terruederivoli75004paris,
,,,,,,,,,75105-P-050,SOUFFLOT,75105.0,18 M rue Soufflot. 75005. Paris,https://fr.parkindigo.com/parking/paris-75005/soufflot-pantheon-75050100,tous,0.0,597.0,0.0,2.0,6.0,6.0,0.0,2.0,32.0,0.0,190.0,69200653900112.0,2.342419,48.847087,tarif_special,4.4,8.8,13.2,17.6,39.6,,239.0,ouvrage,autre entree = 19 ter rue Soufflot. 75005. Paris|tarif PMR = 2.20 euros,,18mruesoufflot75005paris,
,,,,,,,,,75105-P-076,PATRIARCHES,75105.0,42 ter rue daubenton. 75005. Paris,https://fr.parkindigo.com/parking/paris-75005/patriarches-75050300,tous,0.0,334.0,0.0,7.0,3.0,10.0,0.0,0.0,20.0,0.0,190.0,50472714000056.0,2.3508884,48.8403437,tarif_special,4.4,8.8,13.2,17.6,39.6,232.0,290.0,ouvrage,tarif petit rouleur -25 % = contacter le parc|tarif PMR = 2.20 euros,,42terruedaubenton75005paris,
,,,,,,,,,75106-P-055,SAINT GERMAIN DES PRES,75106.0,169 ter boulevard Saint Germain. 75006. Paris,https://fr.parkindigo.com/parking/paris-75006/saint-germain-des-pres-75060800,tous,0.0,342.0,0.0,17.0,6.0,0.0,0.0,1.0,19.0,0.0,190.0,69200653900112.0,2.331134,48.8542044,,5.2,10.4,15.6,20.8,42.85,,310.0,ouvrage,,,169terboulevardsaintgermain75006paris,
,,,,,,,,,75106-P-057,SAINT SULPICE,75106.0,8 M place Saint Sulpice. 75006. Paris,https://fr.parkindigo.com/parking/paris-75006/saint-sulpice-75060200,tous,0.0,369.0,0.0,10.0,6.0,0.0,0.0,0.0,3.0,0.0,190.0,30464607800143.0,2.3335577,48.8511816,,4.8,9.6,14.4,19.2,39.6,,331.0,ouvrage,,,8mplacesaintsulpice75006paris,
