typo,orig,historique
RUE D'HAUTEVILLE,"Jean-Baptiste de La Michodière, comte d'Hauteville, né en 1720, prévôt des marchands de 1772 à 1777.","Les lettres patentes du 14 octobre 1772 avaient attribué le nom de rue de La Michodière à la partie A. Le tronçon compris entre les rues de Paradis et des Messageries existait à l'état de passage en 1775. Une délibération du Corps municipal, en date du 18 juin 1792, a autorisé la conversion du passage en une rue de 30 pieds de largeur, à condition que les riverains cèdent gratuitement le terrain nécessaire à l'exécution des alignements. Cette portion de voie a porté le nom de passage des Messageries."
VILLA FAUCHEUR,M. Faucheur propriétaire.,
RUE DE LOUVOIS,Ouverte sur l'emplacement de l'Hôtel Louvois.,Précédemment place de Richelieu.
COURS LA REINE,"Promenade ou cours créé en 1616, par ordre de Marie de Médicis.","Le cours la Reine s'étendait précédemment jusqu'à la place de l'Alma et joignait sur toute sa longueur le quai de la Conférence. Sous le premier Empire, le quai de la Conférence a porté le nom de quai Levesque. Les aménagements des parterres effectués au début du XXe siècle à l'emplacement du quai de la Conférence ont entraîné l'extension de la dénomination de cours la Reine à l'assiette de ce quai. Une délib. mun. du 14 juillet 1918, a donné le nom de cours Albert Ier au tronçon compris entre les places du Canada et de l'Alma. On l'a appelé le Petit Cours."
RUE DE TILSITT,"Traité signé le 7 juillet 1807 entre la France, la Russie et la Prusse ; voisinage de l'Arc de Triomphe de l'Etoile.",
BOULEVARD SUCHET,"Louis Gabriel Suchet (1770-1826), duc d'Albufera, maréchal de France.",Précédemment partie de la rue Militaire. La rue Militaire a été remise conditionnellement à la Ville de Paris par le Génie Militaire en exécution d'une décision ministérielle du 28 juillet 1859.
RUE AUDRAN,"Gérard Audran (1640-1703), graveur-sculpteur français.",Précédemment rue Neuve Véron.
RUE NOTRE-DAME DES VICTOIRES,Longe l'église Notre-Dame des Victoires.,"Elle a porté les noms de : chemin Herbu (début du XVIIe siècle), rue des Marais, rue des Victoires (1634), rue des Pères Augustins (1647), et enfin rue Notre-Dame des Victoires ; pendant la Révolution, elle a été appelée rue des Victoires Nationales. La partie qui débouchait rue Montmartre, n° 133, est devenue la rue Brongniart."
RUE QUINCAMPOIX,"Ancien nom (XIIIe siècle), supposé être celui d'un particulier.","Précédemment, rue des Cinq Diamants (partie A) et rue Quincampoix (partie B). L'ancienne rue des Cinq Diamants, ainsi appelée dès 1536, a porté les noms de rue de la Couréerie, rue de la Courroirie, rue de la Vieille Courroierie. L'ancienne rue Quincampoix existait en 1210. On a écrit son nom : Quinquempoit (Guillot), Cinquampoit, Quiquenpoit (Ducerceau), Quinquempoix (Jaillot). Elle fut également appelée rue de la Confréerie."
RUE FABERT,"Abraham Fabert (1599-1662), maréchal de France ; voisinage de l'Hôtel des Invalides.","Précédemment, rue d'Austerlitz."
AVENUE GUSTAVE EIFFEL,"Gustave Eiffel (1832-1923), ingénieur français créateur de nombreux ouvrages métalliques dont le plus célèbre est la tour édifiée à l'occasion de l'exposition universelle de 1889 au Champ de Mars.",Précédemment avenue Édouard Branly
RUE JARRY,"Nicolas Jarry (1620-1670), calligraphe.","Précédemment cité Jarry (arr. du 1er février 1877), plus anciennement passage Neveu."
RUE JULES PICHARD,,La partie qui débouchait rue des Jardiniers a été supprimée lors de l'aménagement de l'îlot en 1965.
VOIE CU/19,,Bretelle de liaison aménagée à l'occasion de la création du boulevard Périphérique.
RUE DANTE,"Dante Alighieri (1265-1331), le grand poète italien, aurait, suivant la tradition, habité le quartier.",Un arrêté du 1er février 1877 avait réuni la partie comprise entre la rue Domat et le boulevard Saint-Germain à la rue Domat.
PLACE DE L'ODEON,Voisinage du théâtre de l'Odéon.,"A l'origine on l'appela place du Théâtre Français et, plus tard, place de la Comédie Française."
RUE GEORGES DESPLAS,"Georges Desplas (1856-1922), député et conseiller municipal de l'arrondissement.","Précédemment, rue de Quatrefages prolongée, ouverte sur l'emplacement de l'ancien hôpital de la Pitié."
RUE DE LA CHARBONNIERE,Lieu-dit.,
RUE DU FOREZ,Province du Forez ; voisinage de la place de France projetée par Henri IV.,
RUE HOUDART DE LAMOTTE,"Charles Antoine Houdart de Lamotte (1773-1806), colonel, tué à la bataille d'Iéna.",
RUE SAINT-YVES,,
RUE GEOFFROY L'ASNIER,Corruption de Frogier l'Asnier.,Elle existait en 1300. On l'a appelée rue Frogier l'Asnier et rue Forgier l'Asnier.
RUE DES PETITS CARREAUX,Ancienne enseigne.,"Elle existait au XIIIe siècle. Jusqu'au début du XVIIe siècle, elle a été confondue avec la rue Montorgueil. En 1637, la partie voisine de la rue Poissonnière était appelée rue des Boucheries."
CITE JANDELLE,"M. Jandelle, propriétaire.",
RUE DE POMEREU,"M. de Pomereu, propriétaire des terrains sur lesquels la voie a été ouverte.",
ROUTE DE LA PORTE NOIRE,,Située autrefois sur le territoire de Fontenay-sous-Bois annexé à Paris par décret du 18 avril 1929.
RUE BERENICE ABBOTT,"Berenice Abbott (Springfield (Etats-Unis), 1898 - Monson (Etats-Unis), 1991), photographe portraitiste, puis photographe scientifique.",Précédemment voie EA/13. Voie créée dans le cadre de l'aménagement de la Zac `Paris Rive Gauche`.
VOIE BG/18,,Bretelle de liaison aménagée à l'occasion de la création du boulevard Périphérique.
COUR DU ROI FRANCOIS,Ancienne dénomination ; étymologie inconnue.,
PLACE SARAH MONOD,"Sarah Monod, née Alexandrine Elisabeth Sarah Monod (Lyon (Rhône), 1836 - Paris, 1912), philanthrope et féministe protestante. Médaillée d'Or de collaboration à l’exposition de Paris de 1900, diplômée d'honneur à l'exposition de Bruxelles de 1910. Chevalière de la Légion d'honneur.",
RUE BOULITTE,"M. Boulitte, l'un des propriétaires.",
PASSAGE DU GRAND CERF,Ancienne enseigne.,
RUE VILLEDO,"Guillaume et François Villedo, maîtres généraux des bâtiments du roi et oeuvres de maçonnerie, possédaient des maisons dans cette rue au XVIIe siècle.","Tracée en 1639. Dénommée rue Villedo, en 1655."
SQUARE DE L'AIDE SOCIALE,,
RUE DE CHANTILLY,"Ville du département de l'Oise, célèbre par son château ; voisinage de la gare du Nord.",Ouverte par la Compagnie des Voitures de Paris.
PLACE MILENA SALVINI,"Milena Salvini (1933-2022), danseuse, réalisatrice.",
CITE SOUZY,,
PASSAGE DE LA MAIN D'OR,Enseigne d'une auberge.,Précédemment cour de la Main d'Or.
PASSAGE SAINT-ROCH,Voisinage de l'église Saint-Roch.,Ce passage finissait autrefois rue d'Argenteuil ; une partie en a été supprimée lors de l'ouverture de la rue des Pyramides.
VOIE BH/17,,Bretelle de liaison aménagée à l'occasion de la création du boulevard Périphérique.
RUE JEAN-LOUIS FORAIN,"Jean-Louis Forain (1852-1931), peintre, dessinateur et graveur français.",Précédemment rue Forain. Ouverte par l'Office public d'habitations de la Ville de Paris sur l'emplacement du bastion 46.
RUE DE LA MONTAGNE SAINTE-GENEVIEVE,"Cette voie gravit la hauteur dite montagne Sainte-Geneviève, du nom de l'abbaye.","Partie de l'ancienne voie gallo-romaine allant de Lutèce à Fontainebleau. Cette voie existait au XIIIe siècle. Elle a porté les noms de : rue Sainte-Geneviève (1266-1276), Sainte-Geneviève la Grant, Sainte-Geneviève du Mont, du Mont, des Boucheries et, de 1793 à 1815, de la Montagne."
RUE DU CHATEAU LANDON,Ancien manoir désigné sous le nom de Château Landon.,"Cette voie existait à la fin du XVIIe siècle ; elle a été dénommée chemin des Potences, chemin de Notre-Dame des Vertus, chemin du Château Landon."
RUE CAILLETET,"Paul Cailletet (1832-1913), physicien.",Précédemment partie de la rue Paul Bert située autrefois sur le territoire de Saint-Mandé annexé à Paris par décret du 18 avril 1929. L'assiette de la rue Cailletet a été réduite lors de la création du boulevard Périphérique en 1970.
